NIS,Nº de ruedas,Ratio de pérdida,Año de consolidación,Último análisis
467728003,5,"0,751",2006,05/01/2014
454573104,4,"0,852",2013,21/01/2014
406589803,3,"0,402",2004,18/01/2014
849143402,5,"0,921",1999,25/01/2014
445071104,6,"0,089",2007,19/01/2014
413012104,8,"0,843",1997,19/01/2014
743154503,2,"0,784",2008,20/01/2014
821981302,9,"0,770",1996,26/01/2014
476814903,1,"0,751",2013,06/01/2014
865013003,4,"0,106",2003,01/01/2014
487840206,6,"0,082",1996,30/01/2014
824251902,2,"0,959",2008,23/01/2014
835602202,8,"0,864",2008,03/01/2014
845132502,10,"0,456",2003,02/01/2014
474451003,3,"0,409",1997,23/01/2014
426686803,8,"0,745",2004,24/01/2014
886701301,6,"0,986",1998,29/01/2014
476180803,4,"0,451",2000,24/01/2014
744977503,5,"0,470",1996,26/01/2014
770637703,2,"0,096",2009,30/01/2014
418329603,5,"0,263",1997,11/01/2014
824098402,10,"0,246",1996,23/01/2014
431891303,2,"0,828",2007,02/01/2014
819511102,7,"0,229",2011,05/01/2014
820534902,6,"0,685",2003,14/01/2014
427510103,8,"0,666",2001,24/01/2014
813224602,2,"0,358",2008,14/01/2014
822704302,8,"0,789",2004,16/01/2014
803469403,1,"0,799",2009,28/01/2014
822362002,2,"0,779",2000,30/01/2014
494294603,5,"0,409",2008,10/01/2014
770946804,5,"0,032",2009,10/01/2014
881099801,9,"0,853",1996,20/01/2014
843085402,5,"0,387",1998,02/01/2014
856876902,5,"0,874",2005,23/01/2014
823837802,4,"0,027",2009,14/01/2014
429714803,1,"0,359",2004,03/01/2014
470839903,10,"0,737",2005,16/01/2014
806394102,5,"0,495",2001,20/01/2014
813663802,1,"0,062",2001,24/01/2014
839310803,8,"0,400",2011,06/01/2014
428068303,10,"0,187",2012,24/01/2014
823268204,9,"0,812",2014,24/01/2014
822578502,3,"0,516",1997,18/01/2014
466398003,8,"0,797",2003,30/01/2014
827007202,8,"0,380",1996,09/01/2014
744955803,2,"0,690",2000,03/01/2014
821450702,8,"0,545",2008,11/01/2014
480064603,6,"0,419",2007,22/01/2014
427093403,7,"0,573",1999,28/01/2014
408188303,2,"0,903",1997,13/01/2014
829624102,8,"0,082",2008,07/01/2014
819518902,1,"0,889",2006,13/01/2014
796879702,8,"0,898",1999,03/01/2014
824761302,9,"0,811",2003,23/01/2014
720844703,1,"0,374",2012,23/01/2014
824073802,7,"0,547",2009,16/01/2014
824631002,5,"0,918",2009,06/01/2014
783012202,1,"0,282",1996,13/01/2014
757168803,4,"0,459",2012,14/01/2014
427716503,7,"0,611",2006,29/01/2014
466683603,1,"0,300",2006,08/01/2014
823615702,4,"0,633",2006,31/01/2014
824711802,5,"0,892",2010,29/01/2014
770208704,7,"0,985",1996,15/01/2014
426478503,4,"0,403",2014,21/01/2014
471329403,10,"0,572",1996,30/01/2014
406335403,10,"0,664",2013,15/01/2014
824167102,2,"0,492",2005,16/01/2014
440962203,4,"0,856",2005,27/01/2014
854681902,8,"0,695",2011,15/01/2014
451918303,9,"0,844",1996,10/01/2014
880144602,9,"0,120",2003,28/01/2014
812581002,4,"0,927",2006,01/01/2014
443236103,4,"0,290",2008,11/01/2014
703309703,10,"0,591",2003,20/01/2014
823943002,8,"0,320",2001,11/01/2014
825215702,9,"0,556",2013,17/01/2014
441570903,5,"0,161",2001,31/01/2014
819352905,3,"0,322",2010,15/01/2014
580145103,9,"0,803",2009,26/01/2014
824816902,9,"0,880",2001,31/01/2014
734113104,5,"0,726",2003,22/01/2014
821148502,5,"0,462",2008,27/01/2014
430839103,8,"0,289",2013,26/01/2014
824983202,1,"0,060",2013,07/01/2014
426821204,8,"0,521",2008,24/01/2014
419137603,9,"0,812",2005,03/01/2014
808822702,1,"0,658",2005,10/01/2014
420494506,8,"0,324",1995,07/01/2014
460724703,9,"0,987",1999,29/01/2014
823484902,7,"0,601",2009,14/01/2014
460431903,3,"0,462",2003,12/01/2014
824049502,4,"0,214",2002,15/01/2014
783047803,3,"0,127",1998,19/01/2014
400954703,2,"0,052",2006,09/01/2014
423239705,5,"0,837",2010,27/01/2014
426098103,8,"0,425",2007,18/01/2014
822540402,4,"0,204",2004,18/01/2014
823883103,9,"0,082",1997,13/01/2014
789422803,2,"0,019",2013,09/01/2014
412669103,3,"0,376",2005,13/01/2014
490171003,9,"0,171",1997,13/01/2014
798911402,6,"0,665",1999,11/01/2014
823829601,8,"0,735",2009,17/01/2014
406457803,5,"0,217",2002,19/01/2014
792195502,8,"0,401",1997,20/01/2014
803998710,10,"0,262",2001,13/01/2014
487027903,7,"0,529",1997,26/01/2014
824278502,6,"0,139",2010,11/01/2014
440765203,9,"0,130",1995,21/01/2014
875512902,9,"0,771",2001,23/01/2014
823986605,1,"0,623",2011,16/01/2014
843894602,7,"0,136",2004,13/01/2014
705869003,4,"0,537",2007,01/01/2014
491001903,2,"0,564",2002,16/01/2014
811346403,7,"0,197",2006,26/01/2014
710356103,9,"0,738",2000,10/01/2014
823618402,10,"0,725",1999,14/01/2014
823585802,1,"0,481",2004,13/01/2014
491731103,6,"0,476",1996,30/01/2014
882121102,5,"0,574",2011,06/01/2014
426531903,7,"0,171",1995,13/01/2014
822021202,8,"0,536",1995,22/01/2014
824574602,7,"0,955",1997,09/01/2014
777064601,6,"0,321",2011,12/01/2014
878153502,6,"0,284",2004,17/01/2014
808080402,3,"0,244",2014,03/01/2014
825205102,4,"0,940",2014,29/01/2014
823508902,2,"0,279",2008,03/01/2014
823314702,1,"0,484",2011,22/01/2014
745975402,5,"0,980",2009,09/01/2014
415204003,6,"0,402",2000,29/01/2014
823921102,4,"0,418",1997,01/01/2014
438666503,2,"0,273",2013,19/01/2014
412215603,2,"0,177",2012,04/01/2014
823885102,3,"0,230",2011,02/01/2014
443015103,10,"0,597",2013,13/01/2014
821193402,1,"0,079",1999,27/01/2014
824257302,5,"0,517",1995,23/01/2014
807756003,5,"0,741",2010,24/01/2014
706293203,8,"0,044",1996,18/01/2014
475330103,6,"0,555",2008,11/01/2014
801779202,7,"0,200",2004,09/01/2014
823788902,5,"0,278",2006,22/01/2014
821360202,4,"0,733",2001,30/01/2014
821682302,8,"0,734",2002,01/01/2014
824162702,5,"0,883",2005,12/01/2014
785443403,5,"0,483",2005,15/01/2014
824695402,1,"0,626",2013,12/01/2014
825117401,8,"0,374",2012,27/01/2014
431156003,3,"0,880",2001,06/01/2014
841830902,4,"0,522",2013,17/01/2014
795137003,9,"0,783",2011,31/01/2014
823458501,2,"0,648",2009,11/01/2014
714441003,8,"0,412",1997,30/01/2014
823136202,9,"0,693",1997,08/01/2014
817507902,4,"0,933",1998,21/01/2014
723453803,3,"0,060",2000,28/01/2014
852007302,8,"0,737",1997,17/01/2014
820897502,8,"0,094",2006,07/01/2014
580318103,5,"0,752",1999,30/01/2014
779623103,3,"0,314",2004,29/01/2014
408698803,9,"0,859",2003,21/01/2014
444170803,1,"0,301",2007,06/01/2014
432765205,4,"0,907",1996,10/01/2014
481039603,1,"0,130",1995,31/01/2014
821739602,10,"0,241",2008,06/01/2014
403809604,10,"0,878",2011,01/01/2014
400853504,4,"0,582",2009,22/01/2014
824267002,1,"0,533",1998,19/01/2014
730722605,7,"0,583",2002,10/01/2014
615724747,5,"0,506",2013,15/01/2014
704883447,5,"0,028",2007,22/01/2014
853487081,3,"0,506",2005,30/01/2014
733212459,3,"0,821",2005,29/01/2014
891430600,6,"0,588",2005,16/01/2014
620102755,5,"0,265",2014,01/01/2014
793425591,6,"0,743",2013,21/01/2014
793059378,7,"0,760",2001,30/01/2014
695497313,3,"0,910",2004,25/01/2014
827859180,2,"0,493",2000,10/01/2014
866840802,3,"0,745",2012,03/01/2014
869544139,10,"0,025",2007,03/01/2014
815224722,3,"0,552",2013,28/01/2014
864099703,10,"0,435",2011,02/01/2014
661525833,4,"0,351",2011,31/01/2014
833521311,10,"0,682",2003,06/01/2014
780677034,1,"0,688",1995,05/01/2014
825876257,5,"0,037",1999,18/01/2014
759228728,3,"0,332",2011,03/01/2014
768256679,6,"0,985",2012,05/01/2014
655937335,4,"0,002",2003,04/01/2014
732545346,3,"0,224",1998,06/01/2014
622737736,5,"0,135",2009,06/01/2014
643849794,7,"0,838",2008,11/01/2014
898092309,6,"0,813",2010,14/01/2014
621055737,7,"0,086",2005,16/01/2014
668038442,3,"0,056",1997,24/01/2014
624768412,4,"0,292",2002,25/01/2014
691487238,2,"0,854",2011,16/01/2014
658138928,8,"0,585",2014,23/01/2014
619408701,1,"0,732",2006,19/01/2014
618361465,6,"0,987",2014,11/01/2014
845606755,7,"0,876",2000,07/01/2014
768397630,8,"0,229",2011,05/01/2014
818729247,3,"0,285",1997,29/01/2014
848132179,3,"0,138",1999,21/01/2014
837828133,7,"0,610",2008,09/01/2014
639106554,10,"0,213",2004,24/01/2014
817760743,6,"0,454",2007,30/01/2014
773452247,3,"0,073",1999,16/01/2014
709616898,7,"0,970",2002,28/01/2014
828328710,10,"0,276",2003,28/01/2014
865191954,3,"0,272",2009,22/01/2014
648642568,9,"0,354",2013,18/01/2014
618902716,3,"0,028",2005,03/01/2014
735245622,4,"0,863",1997,28/01/2014
802812519,2,"0,754",2003,14/01/2014
746454147,4,"0,054",1997,25/01/2014
656488884,1,"0,938",2014,20/01/2014
822059454,6,"0,753",2004,28/01/2014
765467532,10,"0,251",1995,08/01/2014
783750681,6,"0,120",1998,09/01/2014
686835711,1,"0,761",2013,30/01/2014
880150273,6,"0,221",2014,20/01/2014
759886849,3,"0,131",2002,25/01/2014
758875764,5,"0,870",2011,04/01/2014
713648914,4,"0,522",1999,07/01/2014
887901721,1,"0,008",2010,13/01/2014
852258622,10,"0,928",2006,11/01/2014
815989024,7,"0,085",2002,11/01/2014
808750641,6,"0,894",2004,06/01/2014
722510803,1,"0,075",1995,25/01/2014
705356634,10,"0,766",2007,20/01/2014
842441729,4,"0,170",2007,28/01/2014
814467553,8,"0,162",2002,01/01/2014
625615489,1,"0,833",1999,16/01/2014
766351999,6,"0,505",2001,18/01/2014
747575156,7,"0,479",2003,01/01/2014
803129867,4,"0,756",1996,23/01/2014
801584753,6,"0,765",2001,30/01/2014
843829251,8,"0,294",2011,11/01/2014
600145320,6,"0,724",2001,09/01/2014
627084218,1,"0,944",2013,08/01/2014
603360269,5,"0,731",2010,17/01/2014
874352221,2,"0,734",2000,01/01/2014
870309010,7,"0,311",1999,07/01/2014
718196299,10,"0,124",2006,19/01/2014
794203404,5,"0,084",1995,11/01/2014
778773689,6,"0,154",1999,16/01/2014
863987646,2,"0,563",2005,16/01/2014
672192648,6,"0,575",2012,20/01/2014
636676028,3,"0,386",1999,26/01/2014
879333245,5,"0,992",2005,20/01/2014
663461198,8,"0,683",2000,27/01/2014
759003330,8,"0,212",2004,21/01/2014
868145604,6,"0,477",1999,27/01/2014
829215156,5,"0,112",1998,09/01/2014
712616706,9,"0,689",1995,20/01/2014
679439784,1,"0,043",1999,13/01/2014
774481654,8,"0,439",1997,21/01/2014
770617499,2,"0,537",2004,29/01/2014
640816033,1,"0,274",2012,02/01/2014
795854561,2,"0,564",1997,13/01/2014
845333989,2,"0,682",1997,14/01/2014
790007428,5,"0,132",2007,21/01/2014
696130983,8,"0,010",2009,26/01/2014
742205724,3,"0,873",2010,24/01/2014
870742502,4,"0,857",1995,29/01/2014
719559927,3,"0,094",1995,25/01/2014
676174871,9,"0,384",1996,16/01/2014
805770846,3,"0,993",1997,17/01/2014
833942222,1,"0,769",2001,09/01/2014
653298599,1,"0,425",1996,10/01/2014
737391904,4,"0,634",2000,30/01/2014
731485319,5,"0,688",2009,20/01/2014
793286387,4,"0,940",2004,29/01/2014
823725711,6,"0,729",1995,18/01/2014
814389059,2,"0,867",1999,20/01/2014
782803485,10,"0,611",2002,29/01/2014
897132683,8,"0,017",1995,27/01/2014
752723892,2,"0,771",2012,01/01/2014
788525945,7,"0,953",2002,30/01/2014
674645930,2,"0,191",1998,19/01/2014
818763650,8,"0,202",2003,18/01/2014
673341922,1,"0,478",2014,21/01/2014
826603945,9,"0,242",2009,14/01/2014
776225982,1,"0,102",2006,05/01/2014
757872564,1,"0,455",2003,06/01/2014
692401911,4,"0,161",2008,25/01/2014
651955256,10,"0,947",2000,19/01/2014
870115361,4,"0,861",2009,31/01/2014
834085912,1,"0,460",2001,17/01/2014
804309275,4,"0,297",1995,29/01/2014
888090798,6,"0,305",2008,12/01/2014
700694285,8,"0,050",2000,09/01/2014
799947599,10,"0,226",2011,03/01/2014
804815631,9,"1,000",2000,21/01/2014
711649780,1,"0,730",2012,27/01/2014
741723970,8,"0,857",2011,02/01/2014
771602371,8,"0,428",2006,12/01/2014
855393047,10,"0,377",2007,30/01/2014
849900005,7,"0,510",2008,16/01/2014
728087495,3,"0,871",2011,05/01/2014
727454102,2,"0,918",2013,16/01/2014
646115225,2,"0,735",1997,23/01/2014
723918749,2,"0,375",1996,12/01/2014
820385522,2,"0,375",2003,03/01/2014
865171028,4,"0,301",2012,30/01/2014
819614128,7,"0,125",2010,26/01/2014
893228214,9,"0,752",1999,24/01/2014
601784815,5,"0,838",2002,23/01/2014
821020234,1,"0,223",1999,29/01/2014
735452239,2,"0,891",1995,15/01/2014
694979479,3,"0,814",2007,13/01/2014
892083593,3,"0,675",1997,19/01/2014
847582572,7,"0,400",2000,10/01/2014
835027210,4,"0,869",1995,04/01/2014
866957165,4,"0,983",2006,29/01/2014
713453411,3,"0,406",1998,09/01/2014
823978564,2,"0,970",2013,04/01/2014
712411250,6,"0,201",2005,18/01/2014
776243214,4,"0,876",2006,06/01/2014
665431458,7,"0,842",2002,22/01/2014
888334559,5,"0,173",2011,16/01/2014
868195655,1,"0,765",2004,10/01/2014
810790871,5,"0,227",1996,12/01/2014
806438958,9,"0,332",2007,05/01/2014
711127276,10,"0,280",2003,11/01/2014
887497432,1,"0,636",1995,25/01/2014
765021431,5,"0,966",1999,19/01/2014
605299352,10,"0,002",2010,22/01/2014
641607927,6,"0,073",2014,27/01/2014
639006392,6,"0,490",2012,01/01/2014
637833808,8,"0,724",2004,28/01/2014
699903542,9,"0,372",2003,02/01/2014
842081154,3,"0,911",2012,10/01/2014
802020609,5,"0,404",2008,16/01/2014
682903673,3,"0,559",2013,30/01/2014
623212260,6,"0,679",1998,15/01/2014
656950535,2,"0,651",2007,06/01/2014
610851868,8,"0,130",2002,06/01/2014
840950234,9,"0,595",2004,14/01/2014
696176847,4,"0,444",2010,07/01/2014
667298603,7,"0,715",1995,12/01/2014
871825133,1,"0,688",2002,28/01/2014
671652290,3,"0,136",1995,30/01/2014
781109451,9,"0,465",1999,23/01/2014
757463143,5,"0,098",2008,26/01/2014
706814477,9,"0,326",2013,22/01/2014
646771663,8,"0,072",1998,25/01/2014
644039505,4,"0,868",2003,14/01/2014
665862768,4,"0,667",1995,02/01/2014
741428362,9,"0,725",2002,20/01/2014
739185357,5,"0,174",1999,03/01/2014
665753731,9,"0,779",2002,07/01/2014
817194727,4,"0,695",1995,19/01/2014
735200155,9,"0,491",2010,31/01/2014
898715716,1,"0,609",2006,14/01/2014
674705547,5,"0,434",2009,18/01/2014
872350026,10,"0,177",2013,18/01/2014
769927557,10,"0,211",1995,05/01/2014
678288526,10,"0,041",2000,25/01/2014
848219544,9,"0,389",1997,15/01/2014
877910615,7,"0,903",2000,20/01/2014
879988019,10,"0,377",2001,20/01/2014
834799671,8,"0,640",2002,06/01/2014
836982556,1,"0,013",2006,02/01/2014
790902679,7,"0,589",2013,19/01/2014
701464500,6,"0,065",2013,17/01/2014
654554165,2,"0,837",2006,02/01/2014
813750959,2,"0,651",2005,16/01/2014
738110746,7,"0,297",1998,12/01/2014
702897399,8,"0,580",2008,27/01/2014
706959854,3,"0,247",2008,16/01/2014
688377121,6,"0,979",2002,10/01/2014
652370884,9,"0,962",2001,14/01/2014
773018322,9,"0,502",1998,15/01/2014
845906479,7,"0,517",2011,06/01/2014
759426230,10,"0,774",2008,03/01/2014
675167495,4,"0,962",2011,05/01/2014
718746862,8,"0,859",1995,16/01/2014
639313557,10,"0,386",2012,09/01/2014
643237551,1,"0,838",2009,12/01/2014
706321000,1,"0,953",2005,09/01/2014
645811867,3,"0,196",2000,14/01/2014
853634580,6,"0,274",2013,05/01/2014
733065221,9,"0,231",2006,15/01/2014
822796011,3,"0,086",2005,15/01/2014
719052415,3,"0,807",1997,28/01/2014
661841447,8,"0,667",2010,16/01/2014
829410485,3,"0,926",1999,22/01/2014
849255194,4,"0,108",2014,16/01/2014
793043109,1,"0,929",2013,15/01/2014
803910424,8,"0,353",1995,16/01/2014
767361488,4,"0,830",2014,03/01/2014
690275811,1,"0,831",2001,04/01/2014
732207616,8,"0,324",1999,04/01/2014
839600549,9,"0,365",2012,28/01/2014
873466758,7,"0,875",2005,31/01/2014
777964178,6,"0,504",2003,10/01/2014
795832834,7,"0,329",2008,07/01/2014
660396796,10,"0,808",2012,19/01/2014
728182032,7,"0,396",2006,09/01/2014
784091199,5,"0,459",2002,17/01/2014
898359194,7,"0,064",2011,22/01/2014
859782527,3,"0,612",2006,15/01/2014
850562413,6,"0,949",1997,10/01/2014
667662879,7,"0,044",2010,13/01/2014
729888515,1,"0,619",1998,29/01/2014
788364824,5,"0,416",2011,10/01/2014
790667608,2,"0,767",2005,30/01/2014
748630573,6,"0,911",2013,23/01/2014
611474344,3,"0,208",2005,26/01/2014
771840161,6,"0,097",1999,10/01/2014
838925177,10,"0,702",1997,01/01/2014
829003412,9,"0,152",1997,07/01/2014
885458051,4,"0,535",1998,09/01/2014
897075822,1,"0,081",2000,25/01/2014
837254308,8,"0,203",2013,26/01/2014
859449942,1,"0,020",2008,01/01/2014
826908362,3,"0,040",1997,20/01/2014
672758126,9,"0,765",1997,16/01/2014
661237147,7,"0,251",2002,06/01/2014
656008090,2,"0,139",2009,18/01/2014
898730732,6,"0,479",2002,04/01/2014
725319075,6,"0,833",2012,21/01/2014
797023868,8,"0,871",1997,20/01/2014
859028992,4,"0,072",2012,11/01/2014
670883294,3,"0,275",1997,20/01/2014
733849663,6,"0,760",2010,24/01/2014
665521620,9,"0,154",2009,10/01/2014
612956793,9,"0,486",1995,22/01/2014
763978343,1,"0,273",1996,23/01/2014
849013528,9,"0,318",2010,15/01/2014
682379461,2,"0,511",1999,15/01/2014
784418524,4,"0,922",2001,08/01/2014
731617328,3,"0,257",2008,17/01/2014
639629050,3,"0,119",2005,06/01/2014
653532729,6,"0,950",2004,05/01/2014
632162172,4,"0,027",2003,22/01/2014
618254783,5,"0,587",2011,28/01/2014
748508990,4,"0,584",2009,18/01/2014
759526401,8,"0,759",1999,29/01/2014
633501924,9,"0,332",2010,26/01/2014
825751817,2,"0,213",2008,05/01/2014
892534942,7,"0,974",2011,20/01/2014
770190650,4,"0,894",1997,05/01/2014
797250123,8,"0,090",2003,09/01/2014
819350983,10,"0,566",1995,05/01/2014
637931705,8,"0,418",2011,21/01/2014
873234118,1,"0,636",2004,01/01/2014
647327537,6,"0,387",2011,19/01/2014
873028834,4,"0,358",2012,07/01/2014
691022806,1,"0,849",2001,09/01/2014
736893268,5,"0,581",1995,30/01/2014
747653053,4,"0,720",1999,25/01/2014
777331671,3,"0,700",1995,22/01/2014
814488706,8,"0,052",1995,01/01/2014
684673193,2,"0,359",1997,27/01/2014
831387177,9,"0,840",1996,09/01/2014
876734801,9,"0,857",1997,01/01/2014
888288666,5,"0,814",2001,15/01/2014
609841449,2,"0,310",1998,26/01/2014
807687452,10,"0,522",2007,11/01/2014
815972297,8,"0,377",2005,14/01/2014
854025855,4,"0,856",1997,05/01/2014
733408347,1,"0,001",2000,08/01/2014
839114921,7,"0,057",1995,16/01/2014
689235150,7,"0,672",1996,25/01/2014
632760854,5,"0,635",2009,22/01/2014
657762796,10,"0,384",2011,12/01/2014
781722678,7,"0,996",2009,19/01/2014
892566825,9,"0,410",2010,13/01/2014
748653355,2,"0,300",2012,30/01/2014
652424033,4,"0,090",2013,07/01/2014
788097864,7,"0,141",2004,07/01/2014
696585450,4,"0,050",1995,05/01/2014
764708850,9,"0,950",1996,16/01/2014
817605035,1,"0,954",2010,24/01/2014
703352099,10,"0,146",1999,26/01/2014
714048031,5,"0,598",2003,26/01/2014
871461853,4,"0,289",2008,05/01/2014
614429229,6,"0,816",2011,26/01/2014
858227128,6,"0,407",1995,29/01/2014
733703611,5,"0,530",2005,31/01/2014
796844321,3,"0,951",2014,26/01/2014
809772832,4,"0,656",1996,11/01/2014
810144468,4,"0,187",2014,11/01/2014
880620341,5,"0,124",2010,03/01/2014
641812836,9,"0,159",2003,31/01/2014
669644053,2,"0,511",1996,06/01/2014
744742166,4,"0,807",1997,02/01/2014
670940782,9,"0,887",2014,30/01/2014
881057468,9,"0,572",2009,30/01/2014
760739069,10,"0,085",2003,09/01/2014
650126666,7,"0,805",1997,20/01/2014
607837474,7,"0,685",2011,06/01/2014
630205740,7,"0,123",2008,13/01/2014
622510112,4,"0,382",2009,10/01/2014
635577099,4,"0,491",2005,03/01/2014
807063584,7,"0,899",2003,05/01/2014
862815528,3,"0,764",2004,15/01/2014
637288651,4,"0,864",2011,23/01/2014
814491312,7,"0,537",1996,11/01/2014
662926977,9,"0,167",2001,21/01/2014
899351352,4,"0,249",1998,16/01/2014
843523695,5,"0,575",1998,21/01/2014
862394862,8,"0,634",1996,22/01/2014
614394405,3,"0,639",2011,23/01/2014
716121638,2,"0,879",2012,04/01/2014
744361787,1,"0,403",1995,04/01/2014
776946673,3,"0,830",1998,27/01/2014
863100505,6,"0,598",2011,16/01/2014
742972868,6,"0,213",2000,16/01/2014
804602978,10,"0,934",2011,17/01/2014
871977047,1,"0,744",2002,08/01/2014
720503617,6,"0,923",2004,10/01/2014
855094266,3,"0,588",2001,17/01/2014
677358096,9,"0,340",2012,18/01/2014
684971717,7,"0,764",2006,12/01/2014
612400292,5,"0,025",2009,16/01/2014
696800123,9,"0,975",2012,16/01/2014
876754616,10,"0,602",2000,24/01/2014
686227880,9,"0,476",2002,01/01/2014
886877055,7,"0,594",2010,23/01/2014
809700601,5,"0,905",1995,25/01/2014
615842853,9,"0,730",2010,26/01/2014
625682655,2,"0,788",2008,21/01/2014
705222083,9,"0,840",2006,08/01/2014
791228075,6,"0,559",1995,13/01/2014
777387447,5,"0,492",2004,23/01/2014
889038977,9,"0,911",1997,17/01/2014
862649545,3,"0,917",2002,10/01/2014
654060796,1,"0,918",2005,01/01/2014
717810642,9,"0,284",2014,20/01/2014
627024794,1,"0,725",2010,03/01/2014
785794078,7,"0,462",2014,09/01/2014
827321100,6,"0,175",2010,09/01/2014
777737399,1,"0,812",2007,02/01/2014
876603154,3,"0,246",1998,05/01/2014
852203869,5,"0,692",2001,02/01/2014
638389564,9,"0,914",2012,07/01/2014
820395248,4,"0,852",2008,18/01/2014
726833569,6,"0,932",2005,15/01/2014
753914280,3,"0,847",2010,14/01/2014
853242370,10,"0,957",2011,13/01/2014
764294724,7,"0,653",2008,19/01/2014
636336761,5,"0,817",2004,28/01/2014
665911118,1,"0,676",1996,19/01/2014
647392873,2,"0,740",2008,25/01/2014
781255019,5,"0,425",2013,07/01/2014
692702374,9,"0,298",1997,28/01/2014
655338666,3,"0,335",2001,13/01/2014
752711587,4,"0,320",2003,27/01/2014
610751571,6,"0,160",2007,20/01/2014
868308845,2,"0,094",2004,24/01/2014
821521352,6,"0,913",2001,01/01/2014
885740292,3,"0,213",2012,05/01/2014
644148982,2,"0,910",1995,15/01/2014
727948450,8,"0,442",2002,24/01/2014
766123494,1,"0,492",2006,28/01/2014
619853253,2,"0,753",2004,01/01/2014
612265988,7,"0,457",1997,02/01/2014
714713326,7,"0,868",2003,10/01/2014
696704600,8,"0,051",2013,12/01/2014
779739098,6,"0,369",2008,07/01/2014
875253592,10,"0,913",2009,15/01/2014
790853976,10,"0,038",2013,15/01/2014
783543552,10,"0,398",2012,22/01/2014
827437969,1,"0,460",2014,16/01/2014
811800095,8,"0,562",2008,01/01/2014
886841351,9,"0,550",2010,04/01/2014
879924962,7,"0,375",2002,05/01/2014
817482206,6,"0,311",2000,10/01/2014
616056485,3,"0,364",2001,27/01/2014
824934347,4,"0,096",2000,31/01/2014
779808979,9,"0,806",2010,06/01/2014
703001093,8,"0,657",1995,23/01/2014
890366713,9,"0,585",2001,18/01/2014
630183562,2,"0,538",1997,02/01/2014
731703619,3,"0,184",2002,05/01/2014
605837801,4,"0,330",2007,10/01/2014
662539379,4,"0,127",2000,26/01/2014
745017074,9,"0,936",2002,13/01/2014
661072534,7,"0,042",2012,03/01/2014
898539065,2,"0,599",2010,31/01/2014
617021795,9,"0,538",2002,28/01/2014
885644643,1,"0,090",2013,03/01/2014
898209363,3,"0,267",2010,26/01/2014
608654069,2,"0,769",2007,07/01/2014
747174484,10,"0,694",2003,14/01/2014
802820838,7,"0,677",2000,24/01/2014
605254710,6,"0,768",2003,09/01/2014
846594943,2,"0,816",1997,11/01/2014
704683627,3,"0,197",1999,11/01/2014
658842764,2,"0,509",2009,08/01/2014
828544880,4,"0,946",1998,29/01/2014
769418336,8,"0,850",2000,22/01/2014
620376993,6,"0,247",2000,18/01/2014
809178122,3,"0,233",1999,31/01/2014
847313261,9,"0,210",2003,29/01/2014
666508117,5,"0,953",2005,10/01/2014
822103949,6,"0,281",2006,05/01/2014
740453923,5,"0,075",2001,12/01/2014
692271109,2,"0,705",2004,13/01/2014
858737288,1,"0,476",1999,05/01/2014
832553213,8,"0,081",1999,29/01/2014
630060406,10,"0,828",1995,14/01/2014
787237410,10,"0,842",2013,07/01/2014
605688933,8,"0,992",1996,30/01/2014
729369755,9,"0,105",1999,24/01/2014
678351212,1,"0,854",2007,04/01/2014
640681679,1,"0,512",2002,30/01/2014
818595887,2,"0,861",2008,18/01/2014
692184290,1,"0,389",1996,06/01/2014
664093033,2,"0,489",1998,09/01/2014
848662799,10,"0,062",1996,08/01/2014
603457615,1,"0,279",2010,12/01/2014
718095711,4,"0,286",1997,01/01/2014
899179842,8,"0,058",2001,05/01/2014
663846958,1,"0,522",2006,19/01/2014
841430894,10,"0,298",2005,31/01/2014
611463265,8,"0,041",2006,04/01/2014
868218803,9,"0,606",1996,23/01/2014
853188861,10,"0,567",2008,04/01/2014
888408719,3,"0,724",2012,05/01/2014
696913159,5,"0,061",2003,20/01/2014
612902114,5,"0,724",1999,13/01/2014
798059644,2,"0,247",2013,08/01/2014
791176793,1,"0,811",2008,19/01/2014
635321719,7,"0,925",2012,19/01/2014
874610685,8,"0,363",1997,22/01/2014
656255935,6,"0,459",2000,25/01/2014
695477687,5,"0,211",1995,12/01/2014
747004606,10,"0,951",1996,26/01/2014
629139443,8,"0,498",2010,28/01/2014
831232163,2,"0,045",1995,05/01/2014
719431877,8,"0,521",2000,21/01/2014
652871242,2,"0,839",2013,28/01/2014
826731706,4,"0,252",1997,22/01/2014
800208449,7,"0,564",2006,24/01/2014
665620754,9,"0,989",2006,18/01/2014
822689833,8,"0,755",2007,13/01/2014
790831023,9,"0,292",2009,10/01/2014
785919580,2,"0,712",1997,31/01/2014
831105829,7,"0,501",2006,23/01/2014
820795844,9,"0,262",2004,20/01/2014
889650822,3,"0,602",2004,06/01/2014
650637234,4,"0,074",1999,24/01/2014
716318385,7,"0,728",1997,31/01/2014
873792825,6,"0,700",2010,15/01/2014
642563435,6,"0,176",2006,16/01/2014
735172473,9,"0,863",2007,24/01/2014
682755168,2,"0,922",2000,27/01/2014
762749799,5,"0,351",2009,18/01/2014
639168712,2,"0,757",1996,29/01/2014
780858793,10,"0,497",2014,26/01/2014
810929814,6,"0,637",2000,08/01/2014
841591078,8,"0,743",2013,29/01/2014
629274015,4,"0,497",2001,23/01/2014
676222318,9,"0,512",2012,10/01/2014
679606567,2,"0,021",2011,03/01/2014
